fromnode,tonode,direction,length,capacity,cost
74,93,na,31,2000,1000
74,106,na,40,2000,1000
74,114,na,24,2000,1000
75,109,na,20,2000,1000
76,83,na,18,2000,1000
76,84,na,19,2000,1000
76,101,na,10,2000,1000
77,112,na,13,2000,1000
80,115,na,30,2000,1000
80,118,na,12,2000,1000
81,93,na,16,2000,1000
81,107,na,37,2000,1000
81,112,na,31,2000,1000
82,105,na,29,2000,1000
83,84,na,12,2000,1000
84,85,na,28,2000,1000
84,107,na,26,2000,1000
85,112,na,36,2000,1000
85,119,na,25,2000,1000
90,97,na,27,2000,1000
90,108,na,25,2000,1000
91,118,na,22,2000,1000
92,111,na,30,2000,1000
92,112,na,18,2000,1000
93,100,na,29,2000,1000
93,101,na,23,2000,1000
93,104,na,22,2000,1000
93,110,na,23,2000,1000
95,98,na,8,2000,1000
97,111,na,12,2000,1000
97,117,na,24,2000,1000
101,102,na,12,2000,1000
101,115,na,34,2000,1000
102,117,na,26,2000,1000
103,107,na,30,2000,1000
103,118,na,40,2000,1000
106,110,na,22,2000,1000
106,118,na,41,2000,1000
112,115,na,32,2000,1000
113,114,na,15,2000,1000
31,0,na,27,2000,1000
84,0,na,35,2000,1000
20,1,na,29,2000,1000
33,1,na,14,2000,1000
39,1,na,52,2000,1000
68,1,na,12,2000,1000
95,1,na,19,2000,1000
96,1,na,15,2000,1000
109,1,na,24,2000,1000
114,1,na,13,2000,1000
118,1,na,26,2000,1000
24,2,na,29,2000,1000
29,2,na,28,2000,1000
32,2,na,28,2000,1000
44,2,na,14,2000,1000
57,2,na,28,2000,1000
59,2,na,21,2000,1000
101,2,na,15,2000,1000
23,3,na,22,2000,1000
37,3,na,34,2000,1000
59,3,na,26,2000,1000
61,3,na,11,2000,1000
64,3,na,26,2000,1000
92,3,na,28,2000,1000
70,4,na,15,2000,1000
71,4,na,39,2000,1000
83,4,na,22,2000,1000
103,4,na,24,2000,1000
109,4,na,23,2000,1000
19,5,na,15,2000,1000
34,5,na,34,2000,1000
61,5,na,19,2000,1000
90,5,na,23,2000,1000
113,5,na,27,2000,1000
11,6,na,39,2000,1000
17,7,na,38,2000,1000
20,7,na,30,2000,1000
36,7,na,32,2000,1000
97,7,na,27,2000,1000
107,7,na,26,2000,1000
113,7,na,22,2000,1000
36,8,na,31,2000,1000
54,9,na,46,2000,1000
61,9,na,26,2000,1000
63,9,na,29,2000,1000
110,9,na,30,2000,1000
19,10,na,24,2000,1000
36,10,na,14,2000,1000
43,10,na,17,2000,1000
71,10,na,23,2000,1000
116,10,na,20,2000,1000
13,11,na,23,2000,1000
31,11,na,15,2000,1000
46,11,na,30,2000,1000
48,11,na,14,2000,1000
50,11,na,51,2000,1000
67,11,na,15,2000,1000
68,11,na,28,2000,1000
97,11,na,19,2000,1000
21,12,na,17,2000,1000
58,12,na,43,2000,1000
76,12,na,17,2000,1000
109,12,na,28,2000,1000
50,13,na,35,2000,1000
51,13,na,33,2000,1000
78,13,na,31,2000,1000
91,13,na,11,2000,1000
32,14,na,8,2000,1000
61,14,na,24,2000,1000
70,14,na,31,2000,1000
84,14,na,15,2000,1000
96,14,na,31,2000,1000
28,15,na,30,2000,1000
47,15,na,12,2000,1000
56,15,na,22,2000,1000
113,15,na,21,2000,1000
114,15,na,27,2000,1000
17,16,na,21,2000,1000
18,16,na,23,2000,1000
39,16,na,15,2000,1000
45,16,na,21,2000,1000
98,16,na,31,2000,1000
105,16,na,31,2000,1000
19,17,na,23,2000,1000
31,17,na,20,2000,1000
51,17,na,26,2000,1000
55,17,na,26,2000,1000
113,17,na,9,2000,1000
29,18,na,14,2000,1000
55,18,na,18,2000,1000
31,19,na,30,2000,1000
38,19,na,5,2000,1000
69,19,na,32,2000,1000
76,19,na,20,2000,1000
59,20,na,22,2000,1000
74,20,na,36,2000,1000
79,20,na,34,2000,1000
89,20,na,41,2000,1000
95,20,na,19,2000,1000
96,20,na,24,2000,1000
104,20,na,27,2000,1000
28,21,na,13,2000,1000
40,21,na,33,2000,1000
41,21,na,22,2000,1000
88,21,na,3,2000,1000
89,21,na,17,2000,1000
112,21,na,21,2000,1000
56,22,na,22,2000,1000
77,22,na,20,2000,1000
79,22,na,22,2000,1000
102,22,na,33,2000,1000
104,22,na,23,2000,1000
42,23,na,25,2000,1000
73,23,na,38,2000,1000
31,24,na,22,2000,1000
32,24,na,30,2000,1000
77,24,na,30,2000,1000
55,25,na,37,2000,1000
73,25,na,3,2000,1000
114,25,na,28,2000,1000
33,26,na,22,2000,1000
44,26,na,22,2000,1000
48,26,na,33,2000,1000
71,26,na,36,2000,1000
84,26,na,29,2000,1000
102,26,na,28,2000,1000
76,27,na,17,2000,1000
83,27,na,6,2000,1000
87,27,na,21,2000,1000
113,27,na,29,2000,1000
89,28,na,35,2000,1000
109,28,na,18,2000,1000
114,28,na,19,2000,1000
38,29,na,16,2000,1000
53,29,na,15,2000,1000
63,29,na,16,2000,1000
83,29,na,16,2000,1000
93,29,na,26,2000,1000
50,30,na,33,2000,1000
100,30,na,29,2000,1000
35,31,na,27,2000,1000
72,31,na,28,2000,1000
101,31,na,26,2000,1000
109,31,na,22,2000,1000
89,32,na,16,2000,1000
37,33,na,23,2000,1000
38,33,na,30,2000,1000
52,33,na,46,2000,1000
54,33,na,19,2000,1000
52,34,na,29,2000,1000
62,34,na,33,2000,1000
67,34,na,36,2000,1000
111,34,na,37,2000,1000
67,35,na,29,2000,1000
117,35,na,10,2000,1000
58,36,na,18,2000,1000
74,36,na,34,2000,1000
98,36,na,19,2000,1000
112,36,na,31,2000,1000
43,37,na,24,2000,1000
46,37,na,16,2000,1000
40,38,na,34,2000,1000
47,38,na,13,2000,1000
71,38,na,46,2000,1000
85,38,na,37,2000,1000
103,38,na,24,2000,1000
110,38,na,10,2000,1000
42,39,na,36,2000,1000
56,39,na,16,2000,1000
48,40,na,30,2000,1000
66,40,na,25,2000,1000
85,40,na,32,2000,1000
86,40,na,22,2000,1000
87,40,na,22,2000,1000
43,41,na,38,2000,1000
61,41,na,19,2000,1000
73,41,na,43,2000,1000
110,41,na,30,2000,1000
119,41,na,40,2000,1000
48,42,na,27,2000,1000
70,42,na,31,2000,1000
94,42,na,25,2000,1000
104,42,na,28,2000,1000
109,42,na,32,2000,1000
118,42,na,13,2000,1000
77,43,na,21,2000,1000
86,43,na,44,2000,1000
105,43,na,31,2000,1000
116,43,na,19,2000,1000
45,44,na,16,2000,1000
54,45,na,19,2000,1000
65,45,na,44,2000,1000
118,45,na,13,2000,1000
72,46,na,16,2000,1000
75,46,na,23,2000,1000
82,47,na,27,2000,1000
91,47,na,40,2000,1000
118,47,na,13,2000,1000
57,48,na,27,2000,1000
62,48,na,16,2000,1000
103,48,na,15,2000,1000
112,48,na,23,2000,1000
89,49,na,32,2000,1000
97,49,na,38,2000,1000
53,50,na,11,2000,1000
60,50,na,38,2000,1000
65,50,na,13,2000,1000
80,50,na,17,2000,1000
83,50,na,30,2000,1000
84,50,na,24,2000,1000
89,50,na,29,2000,1000
98,50,na,32,2000,1000
99,50,na,30,2000,1000
109,50,na,24,2000,1000
110,50,na,13,2000,1000
60,51,na,30,2000,1000
69,51,na,23,2000,1000
70,51,na,3,2000,1000
63,52,na,48,2000,1000
68,52,na,23,2000,1000
85,52,na,32,2000,1000
62,53,na,14,2000,1000
74,53,na,12,2000,1000
115,53,na,27,2000,1000
56,54,na,30,2000,1000
113,54,na,35,2000,1000
96,56,na,29,2000,1000
111,56,na,23,2000,1000
118,57,na,16,2000,1000
76,58,na,31,2000,1000
113,58,na,30,2000,1000
84,59,na,35,2000,1000
84,60,na,26,2000,1000
93,60,na,20,2000,1000
103,60,na,13,2000,1000
106,60,na,35,2000,1000
112,60,na,33,2000,1000
69,61,na,30,2000,1000
74,61,na,18,2000,1000
82,61,na,29,2000,1000
106,61,na,21,2000,1000
118,61,na,30,2000,1000
97,62,na,17,2000,1000
119,62,na,24,2000,1000
90,64,na,39,2000,1000
83,65,na,47,2000,1000
117,65,na,22,2000,1000
111,66,na,26,2000,1000
106,67,na,13,2000,1000
118,67,na,29,2000,1000
89,68,na,24,2000,1000
70,69,na,33,2000,1000
75,69,na,23,2000,1000
77,69,na,20,2000,1000
79,69,na,46,2000,1000
97,69,na,31,2000,1000
111,69,na,18,2000,1000
112,69,na,24,2000,1000
74,70,na,37,2000,1000
81,70,na,42,2000,1000
100,70,na,33,2000,1000
104,71,na,41,2000,1000
114,71,na,26,2000,1000
75,72,na,23,2000,1000
100,73,na,11,2000,1000
93,74,na,31,2000,1000
106,74,na,40,2000,1000
114,74,na,24,2000,1000
109,75,na,20,2000,1000
83,76,na,18,2000,1000
84,76,na,19,2000,1000
101,76,na,10,2000,1000
112,77,na,13,2000,1000
115,80,na,30,2000,1000
118,80,na,12,2000,1000
93,81,na,16,2000,1000
107,81,na,37,2000,1000
112,81,na,31,2000,1000
105,82,na,29,2000,1000
84,83,na,12,2000,1000
85,84,na,28,2000,1000
107,84,na,26,2000,1000
112,85,na,36,2000,1000
119,85,na,25,2000,1000
97,90,na,27,2000,1000
108,90,na,25,2000,1000
118,91,na,22,2000,1000
111,92,na,30,2000,1000
112,92,na,18,2000,1000
100,93,na,29,2000,1000
101,93,na,23,2000,1000
104,93,na,22,2000,1000
110,93,na,23,2000,1000
98,95,na,8,2000,1000
111,97,na,12,2000,1000
117,97,na,24,2000,1000
102,101,na,12,2000,1000
115,101,na,34,2000,1000
117,102,na,26,2000,1000
107,103,na,30,2000,1000
118,103,na,40,2000,1000
110,106,na,22,2000,1000
118,106,na,41,2000,1000
115,112,na,32,2000,1000
114,113,na,15,2000,1000
